,precision,recall,f1-score,support
BENIGN,0.6389745698814175,0.99647700729844,0.7786515675789032,439683.0
Bot,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS GoldenEye,0.0,0.0,0.0,10293.0
DoS Hulk,0.0,0.0,0.0,230124.0
DoS Slowhttptest,0.0,0.0,0.0,5499.0
DoS slowloris,0.0,0.0,0.0,5796.0
Heartbleed,0.0,0.0,0.0,11.0
PortScan,0.0,0.0,0.0,0.0
Web Attack � Brute Force,0.0,0.0,0.0,0.0
Web Attack � Sql Injection,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0
accuracy,0.6336855624625762,0.6336855624625762,0.6336855624625762,0.6336855624625762
macro avg,0.053247880823451464,0.08303975060820333,0.06488763063157527,691406.0
weighted avg,0.4063404943103926,0.6336855624625762,0.49516471825207603,691406.0
